0.42,0.0067687,25,0.0067668,3600,17.6,85,0,0.58173,0.14427,@281@581@841@1041@1301@1521@1821@2121@2341@2581@2841@3141@3361@3561@3761,@261@561@801@1001@1201@1401@1681@1901@2181@2421@2621@2861@3161@3381@3601,@301@541@761@981@1241@1481@1701@1981@2261@2541@2761@3061@3301@3561@3821,@221@441@661@941@1221@1461@1761@2041@2301@2601@2861@3121@3421@3721,@242@462@662@922@1142@1342@1642@1942@2182@2442@2682@2962@3182@3382@3662
0.42194,0.0051372,25,0.0051357,3600,17.6143,85,0,0.59821,0.047906,@262@462@722@942@1222@1462@1702@1982@2242@2502@2802@3102@3342@3582@3882,@302@602@902@1122@1342@1642@1922@2202@2502@2722@2942@3182@3442@3682,@281@541@761@981@1241@1461@1661@1961@2161@2381@2661@2861@3061@3361@3601,@301@581@861@1061@1321@1561@1821@2081@2281@2581@2821@3021@3241@3461@3741,@262@502@742@1002@1202@1482@1762@2002@2222@2502@2762@3062@3262@3462@3702
0.41333,0.0051166,24,0.0051151,3600,17.6567,82,1,0.71291,0.16573,@282@522@742@942@1182@1442@1702@1942@2142@2342@2602@2822@3102@3402@3622,@302@602@802@1082@1382@1682@1982@2202@2502@2722@2922@3162@3382@3682,@302@502@722@962@1162@1382@1642@1862@2062@2322@2582@2882@3182@3482@3762,@262@502@802@1042@1242@1502@1762@1982@2262@2462@2722@2962@3182@3422@3642,@281@561@821@1121@1321@1561@1861@2121@2341@2601@2841@3041@3241@3481@3761
0.38444,0.0057732,24,0.0057715,3600,17.6003,82,0,0.58013,0.075053,@201@501@801@1021@1261@1481@1721@1981@2281@2561@2781@3021@3321@3581@3841,@261@501@781@1021@1301@1601@1901@2121@2421@2681@2921@3141@3441@3721,@202@482@702@942@1162@1402@1662@1962@2242@2462@2682@2982@3182@3382@3602,@202@502@702@942@1222@1442@1702@1982@2282@2522@2822@3022@3302@3582@3842,@282@522@762@1062@1342@1562@1762@2022@2302@2562@2842@3142@3362@3662
0.39028,0.0073305,23,0.0073285,3600,17.5716,79,0,0.57623,0.10367,@261@501@781@1061@1341@1621@1921@2201@2441@2701@2961@3221@3421@3681,@221@421@701@961@1261@1561@1801@2041@2301@2541@2801@3081@3341@3561@3761,@201@401@621@841@1061@1281@1561@1781@2081@2381@2601@2881@3161@3441@3741,@242@502@762@1062@1302@1502@1742@1962@2202@2402@2702@2982@3282@3482@3762,@222@502@782@1042@1302@1502@1702@2002@2222@2502@2702@2922@3162@3442@3702
0.38028,0.0050726,23,0.0050712,3600,17.5594,79,0,0.60008,0.022645,@202@442@742@982@1282@1502@1802@2062@2322@2622@2882@3162@3462@3762,@281@501@801@1021@1221@1521@1761@2061@2261@2561@2781@3041@3241@3541@3841,@302@562@762@1062@1282@1482@1742@2002@2202@2502@2782@3062@3342@3582@3782,@262@462@662@962@1162@1442@1662@1882@2102@2342@2562@2762@3022@3242@3522@3722,@302@502@762@1042@1302@1562@1762@1962@2162@2362@2582@2802@3102@3362@3622
0.37444,0.005929,24,0.0059273,3600,17.566,82,1,0.7643,0.2311,@261@521@761@1061@1341@1541@1821@2041@2281@2561@2841@3101@3381@3581@3841,@262@522@782@1002@1242@1522@1722@1942@2142@2442@2722@2962@3262@3502@3702,@221@461@761@981@1261@1521@1721@1921@2141@2401@2601@2841@3061@3261@3521@3801,@222@422@722@942@1222@1522@1782@1982@2242@2502@2782@3082@3322@3582@3782,@202@402@702@962@1182@1482@1682@1982@2262@2502@2702@3002@3302@3502@3782
0.40472,0.0056882,24,0.0056866,3600,17.5879,82,1,0.68722,0.10879,@201@421@641@861@1161@1381@1621@1881@2181@2481@2721@2941@3141@3341@3641,@222@482@782@982@1182@1442@1742@2042@2262@2522@2802@3002@3262@3562@3862,@301@501@761@1041@1321@1601@1881@2101@2341@2561@2841@3101@3401@3661,@282@482@762@1042@1282@1582@1802@2082@2302@2522@2742@3042@3282@3562@3802,@282@582@842@1102@1382@1662@1862@2122@2322@2522@2722@2962@3202@3482@3722
0.43306,0.0068477,25,0.0068458,3600,17.6196,85,0,0.60739,0.1192,@301@561@801@1061@1301@1521@1721@1961@2181@2421@2641@2901@3141@3341@3541@3761,@281@481@701@901@1121@1341@1621@1921@2181@2461@2681@2881@3141@3441@3681,@222@422@642@922@1222@1462@1742@1942@2222@2462@2722@2942@3202@3402@3702,@262@562@822@1062@1302@1582@1842@2062@2282@2502@2742@2942@3142@3402@3702,@222@482@682@902@1202@1462@1742@2042@2302@2502@2702@2902@3162@3422@3702
0.35778,0.0043963,25,0.0043951,3600,17.5804,85,0,0.6157,0.0051983,@242@442@702@962@1222@1442@1682@1942@2202@2402@2602@2802@3022@3282@3502@3762,@281@581@781@1001@1261@1521@1741@1941@2161@2421@2721@3001@3281@3481@3721,@281@521@801@1001@1301@1521@1761@1961@2161@2461@2721@2921@3201@3401@3661,@242@482@742@962@1222@1522@1742@1942@2162@2382@2602@2882@3122@3362@3602,@242@542@742@1022@1322@1602@1842@2142@2382@2642@2882@3182@3462@3742
0.4475,0.0059569,24,0.0059553,3600,17.6157,82,0,0.58268,0.052911,@301@521@781@981@1181@1401@1641@1901@2181@2381@2621@2861@3081@3361@3641,@282@562@822@1082@1362@1562@1842@2042@2302@2562@2802@3062@3302@3502@3702,@222@462@662@942@1142@1362@1562@1782@1982@2222@2502@2802@3042@3262@3482@3762,@221@461@741@1001@1221@1521@1761@2001@2261@2461@2681@2941@3141@3401@3681,@302@502@802@1102@1402@1702@1942@2162@2442@2702@3002@3262@3522@3782
0.39,0.0071022,23,0.0071002,3600,17.6391,78,1,0.66152,0.1519,@201@481@741@1041@1241@1521@1801@2001@2221@2501@2721@2921@3121@3401@3621,@201@461@681@961@1261@1541@1801@2061@2361@2581@2781@3001@3221@3441@3681,@202@502@762@1042@1282@1582@1882@2142@2382@2662@2922@3122@3342@3602,@282@562@782@1002@1262@1522@1782@2062@2342@2642@2862@3162@3402@3662,@281@581@881@1161@1381@1681@1961@2161@2361@2601@2881@3181@3481@3781
